Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,latitude,longitude
Blue Jasmine,2013,5546 Geary Ave,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.780586,-122.4791515
Blue Jasmine,2013,2898 Broadway,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.793335,-122.44471
Blue Jasmine,2013,Motel Capri,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,36.778261,-119.4179324
Blue Jasmine,2013,Marina Green,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.8066235,-122.4391137
Blue Jasmine,2013,Ocean Beach at Lincoln,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,36.778261,-119.4179324
Blue Jasmine,2013,Heald College,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.7818115,-122.403822
Blue Jasmine,2013,Marina Blvd from Leguna to Baker,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,36.778261,-119.4179324
Blue Jasmine,2013,330 Santa Clara Ave.,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.734209,-122.466499
Blue Jasmine,2013,200 Post St. ,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.78874,-122.4053011
Blue Jasmine,2013,2179 48th Ave,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,37.745553,-122.507258
Boys and Girls,2000,1122 Folsom Street,,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,37.7763896,-122.4086328
Boys and Girls,2000,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,37.8196974,-122.4787854
Boys and Girls,2000,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not alllowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptuals.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,36.778261,-119.4179324
Boys and Girls,2000,628 Cole Street,,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,37.7690941,-122.4506087
Boys and Girls,2000,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,37.8269775,-122.4229555
Boys and Girls,2000,Aquatic Park (Jefferson Street),"Located at one end of Fisherman's Wharf, Aquatic Park was built as part of FDR's Works Progress Administration Project.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,37.8074647,-122.4208864
Boys and Girls,2000,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,37.7941378,-122.4077914
Boys and Girls,2000,Lombard Street,Lombard Street is not actually the crookedest in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.,Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,37.802139,-122.41874
Boys and Girls,2000,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,37.7793176,-122.4191405
Boys and Girls,2000,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,37.8023949,-122.4058222
Boys and Girls,2000,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,37.79592299999999,-122.392052
Boys and Girls,2000,Fisherman's Wharf,"Supposedly, Mikhail S. Gorbachev has said that his favorite part of visiting America was touring Fisherman's Wharf.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,37.8079996,-122.4177434
Broken-A Modern Love Story ,2010,Ina Coolbrith Park (1700 Taylor Street),,RKW Films,,Ryan K. Whiting,Ryan K. Whiting,,,,36.778261,-119.4179324
Broken-A Modern Love Story ,2010,0-100 block Halleck Street,,RKW Films,,Ryan K. Whiting,Ryan K. Whiting,,,,37.7937113,-122.4000974
Bullitt,1968,Café Cantata (2040 Union Street),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Dermot Mulroney,36.778261,-119.4179324
Bullitt,1968,Bayshore Blvd near Cesar Chavez (Bayview),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Dermot Mulroney,36.778261,-119.4179324
Bullitt,1968,Taylor & Vallejo Streets (Russian Hill),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Don Harvey,37.7980344,-122.4137557
Bullitt,1968,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)",SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County. ,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,,37.7563471,-122.4047567
Bullitt,1968,McClaren Park (Vistacon Valley),"McClaren Park is the 2nd largest park in San Francisco, after Golden Gate Park.","Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,,37.7196766,-122.4206972
Bullitt,1968,Mark Hopkins Hotel (999 California Street),The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Liz Phair,36.778261,-119.4179324
Bullitt,1968,Marina Green (Marina District),"Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition. ","Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Danny Aiello,37.8066235,-122.4391137
Bullitt,1968,Mansell & University Streets (Vistacon Valley),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Danny Aiello,37.719074,-122.41099
Bullitt,1968,Larkin & Francisco Streets (Russian Hill),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Danny Aiello,37.80356080000001,-122.4218062
Bullitt,1968,Larkin & Chestnut Streets (Russian Hill),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,,37.8027332,-122.4214466
Bullitt,1968,Kennedy Hotel (226 Embarcadero at Howard Street),Hotel was destroyed in the 1989 Loma Prieta earthquake. Corporate headquarters for the Gap reside at the location today.,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Colin Friels,36.778261,-119.4179324
Bullitt,1968,John Muir Drive (Lake Merced),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Colin Friels,36.778261,-119.4179324
Bullitt,1968,Intersection of York & Peralta (Bernal Heights),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Colin Friels,37.7474896,-122.4068482
Bullitt,1968,Filbert & Taylor Streets (Russian Hill),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Suzi Mandell,37.8007748,-122.4143291
Bullitt,1968,Enrico's Café (504 Broadway),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Samantha Weaver,36.778261,-119.4179324
Bullitt,1968,Columbus & Lombard Streets (North Beach),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Dermot Mulroney,37.8027632,-122.4137383
Bullitt,1968,Cesar Chavez & Mission Street (Mission),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Dermot Mulroney,37.7482194,-122.4182013
Bullitt,1968,"Candlestick Park Exit, Highway 101",,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Dermot Mulroney,36.778261,-119.4179324
Bullitt,1968,Brocklebank Apartments (1000 Mason Street),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Dermot Mulroney,36.778261,-119.4179324
Bullitt,1968,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugene Cardinal Pacelli, who later became Pope Pius XII. ","Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,,37.8107056,-122.3643287
Bullitt,1968,2700 Vallejo Street (Pacific Heights),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,,37.794632,-122.442027
Bullitt,1968,20th & Vermont Streets (Potrero Hill),The crookedest street in San Fransisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Luther Adler,37.7595713,-122.4040164
Bullitt,1968,1153-57 Taylor Street,"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)","Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Luther Adler,37.7829257,-122.4109508
Burglar,1987,California Academy of Sciences (Golden Gate Park),"Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States.",Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III,Whoppi Goldberg,Bobcat Goldwait,Luther Adler,37.7698646,-122.4660947
Burglar,1987,1400 18th Street,,Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III,Whoppi Goldberg,Bobcat Goldwait,Luther Adler,37.7627009,-122.3968332
Burglar,1987,1627 Haight Street,,Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III,Whoppi Goldberg,Bobcat Goldwait,Luther Adler,37.7697077,-122.4492183
Burglar,1987,Green Valley Restaurant (510 Green Street Near Grant),,Warner Bros. Pictures,Warner Bros. Pictures,Hugh Wilson,Joseph Loeb III,Whoppi Goldberg,Bobcat Goldwait,Luther Adler,36.778261,-119.4179324
By Hook or By Crook,2001,"Department of Public Health (101 Grove Street at Polk, Civic Center)",,Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,Luther Adler,36.778261,-119.4179324
By Hook or By Crook,2001,"Royan Hotel (405 Valencia Street, Mission District)",,Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,Luther Adler,36.778261,-119.4179324
By Hook or By Crook,2001,The Lexington Club (3464 19th Street at Lexington),,Steakhaus Productions,Artistic License,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,Luther Adler,36.778261,-119.4179324
Can't Stop the Music,1980,101 Henry Adams Place,,EMI Films,Associated Film Distribution (AFD),Nancy Walker,Allan Carr,,,,37.7681527,-122.4034569
Casualties of War,1989,Mission Delores Park (Mission District) via J-Church MUNI Train,"The two land plots that comprise the Park were used as a Jewish cemetary until 1894 when San Francisco prohibited all burials within city limits.The graves were moved to Colma, CA.",Columbia Pictures Corporation,Columbia Pictures,Brian DePalma,Daniel Lang,Michael J. Fox,Sean Penn,,36.778261,-119.4179324
Chan is Missing,1982,"Li Po (916 Grant Avenue at Washington, Chinatown)",,New Yorker Films,New Yorker Films,Wayne Wang,Wayne Wang,,,,36.778261,-119.4179324
Chan is Missing,1982,Golden Dragon Restaurant (816 Washington Street at Grant),,New Yorker Films,New Yorker Films,Wayne Wang,Wayne Wang,,,,36.778261,-119.4179324
Cherish,2002,387 Fair Oaks at 25th Street,,3 Ring Circus Films,Fine Line Features,Finn Taylor,Finn Taylor,Brad Hunt,Robin Tunney,Brian Cox,37.750608,-122.423581
Chu Chu and the Philly Flash,1981,22nd and Carolina Streets (Potrero Hill),,Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Henry Barrow,Alan Arkin,Carol Burnett,,37.7572327,-122.3999821
Chu Chu and the Philly Flash,1981,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Henry Barrow,Alan Arkin,Carol Burnett,,37.7924958,-122.4100354
Chu Chu and the Philly Flash,1981,Transbay Terminal (Mission Street at 1st Street),"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Henry Barrow,Alan Arkin,Carol Burnett,,36.778261,-119.4179324
City of Angels,1998,San Francisco Public Library Main Branch (100 Larkin Street),,Atlas Entertainment,Warner Bros. Pictures,Brad Silberling,Dana Stevens,Nicholas Cage,Meg Ryan,,37.7749295,-122.4194155
Class Action,1991,Bix Restaurant (56 Gold Street),,Interscope Communications,Twientieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,,36.778261,-119.4179324
Class Action,1991,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Interscope Communications,Twientieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,,37.7793176,-122.4191405
Class Action,1991,"Mission Delores (3321 16th Street, Mision District)","Mission Delores' official name is Mission San Francisco de Asis. It is the oldest building in San Francisco, built in 1791, and has survived two major earthquakes.",Interscope Communications,Twientieth Century Fox Film Corp.,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,,37.7643821,-122.4268206
Common Threads: Stories From the Quilt,1989,The Castro,"From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.",Home Box Office (HBO),Direct Cinema Limited,Rob Epstein,Jeffrey Friedman,Sara Lewinstein,David Mandell,,37.7609082,-122.4350043
Confessions of a Burning Man,2003,,,Hotbed Media,Windline Films,Paul Barnett,N/A,Kevin Epps,Anna Getty,,37.7749295,-122.4194155
Copycat,1995,Twin Peaks,"The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area ""called the area “Los Pechos de la Chola” or ""Breasts of the Indian Maiden,"" but in the 19th Century when America took over the area, it was renamed ""Twin Peaks"".",Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,37.7544066,-122.4476845
Copycat,1995,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,37.8235515,-122.370648
Copycat,1995,Sound Factory (1st and Harrison Streets),,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,36.778261,-119.4179324
Copycat,1995,"Java House (Pier 40, Embarcadero)",,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,36.778261,-119.4179324
Copycat,1995,Alta Plaza Park,The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910.,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,37.7911417,-122.4376241
Copycat,1995,82 & 67 Rico Way (Marina District),,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,36.778261,-119.4179324
Crackers,1984,24th Street between Mission Street and Potrero Avenue,,Universal Pictures,Universal Pictures,Louis Malle,Jeffrey Fiskin,Donald Sutherland,Sean Penn,,36.778261,-119.4179324
